Day fraction since midnight on	pH probe (pH)	pH probe (pH)	Source pressure (Pa)
0.639931963	6.364392281	6.515067101	0
0.639943522	6.363904953	6.514579296	0
0.639955106	6.363720417	6.51439476	0
0.639966681	6.363737583	6.514411926	0
0.639978246	6.362625599	6.513298988	0
0.639989818	6.361942768	6.512616158	0
0.640001391	6.360526562	6.511199474	0
0.640012981	6.360426426	6.511098862	0
0.640024554	6.359230042	6.509902	0
0.640036111	6.358581543	6.509253025	0
0.640047702	6.358654022	6.509325981	0
0.640059268	6.358103752	6.508775234	0
0.640070851	6.359001637	6.509673595	0
0.640082409	6.359929562	6.510601997	0
0.640093996	6.359257221	6.509929657	0
0.640105572	6.357155323	6.507826328	0
0.640117143	6.355185986	6.505856037	0
0.64012872	6.354602814	6.505272865	0
0.640140282	6.353752613	6.504422188	0
0.640151853	6.353411675	6.504080772	0
0.640163424	6.353462696	6.504131794	0
0.640175011	6.354329109	6.504998684	0
0.640186592	6.354363442	6.505033493	0
0.640198153	6.356397629	6.507068157	0
0.640209725	6.357728481	6.508399963	0
0.6402213	6.358551025	6.509222508	0
0.640232869	6.359434605	6.51010704	0
0.640244444	6.361283302	6.511956215	0
0.640256036	6.362532139	6.513206005	0
0.640267607	6.364809513	6.515484333	0
0.640279173	6.369416237	6.520093441	0
0.640290755	6.376162052	6.526842117	0
0.640302328	6.381537437	6.532220841	0
0.64031389	6.385455132	6.536140442	0
0.640325466	6.389309406	6.539996147	0
0.64033704	6.391670227	6.542357922	0
0.640348612	6.392775059	6.543463707	0
0.640360189	6.393565655	6.54425478	0
0.640371763	6.391239643	6.541927338	0
0.640383331	6.389243126	6.539930344	0
0.64039491	6.386207581	6.536892891	0
0.640406489	6.384915352	6.535600185	0
0.640418059	6.384463787	6.535148144	0
0.640429637	6.383760929	6.534444809	0
0.640441207	6.381223679	6.531906605	0
0.640452781	6.375780582	6.526461124	0
0.640464356	6.372353554	6.523032188	0
0.640475945	6.369906426	6.520584106	0
0.64048751	6.366873741	6.517549515	0
0.64049908	6.363222599	6.513896465	0
0.640510647	6.362881661	6.513555527	0
0.640522224	6.362324715	6.512998104	0
0.640533796	6.360537052	6.511209965	0
0.640545388	6.35973978	6.510412216	0
0.640556947	6.359519959	6.510192394	0
0.640568524	6.358947277	6.509619236	0
0.6405801	6.358120441	6.508791924	0
0.640591674	6.357336044	6.50800705	0
0.640603255	6.355242252	6.505912304	0
0.640614814	6.349896431	6.500564098	0
0.640626403	6.345902443	6.496568203	0
0.640637979	6.345403194	6.496068478	0
0.640649539	6.348619938	6.499286652	0
0.640661129	6.351089478	6.501757622	0
0.640672684	6.351807594	6.502476215	0
0.640684262	6.352175236	6.502843857	0
0.640695838	6.351020336	6.50168848	0
0.640707411	6.349370003	6.500037193	0
0.640718995	6.346040726	6.496706486	0
0.640730568	6.342133045	6.492796898	0
0.640742131	6.334693432	6.48535347	0
0.640753715	6.329084396	6.47974205	0
0.640765277	6.323811531	6.474466324	0
0.640776854	6.320244789	6.470897675	0
0.640788433	6.318504334	6.469156742	0
0.640800011	6.318073273	6.468725681	0
0.640811593	6.318331718	6.468984127	0
0.640823162	6.31836462	6.469016552	0
0.640834723	6.318757057	6.469409466	0
0.640846297	6.319107533	6.469759941	0
0.640857881	6.319297314	6.469949722	0
0.640869448	6.318279266	6.468931198	0
0.640881026	6.317588329	6.468239784	0
0.640892591	6.317187309	6.467838764	0
0.640904176	6.316608429	6.467259884	0
0.640915753	6.316022873	6.466673851	0
0.640927315	6.315531731	6.466182709	0
0.640938891	6.315299034	6.465949535	0
0.640950466	6.315247059	6.465898037	0
0.640962056	6.314558029	6.46520853	0
0.640973623	6.314764023	6.465414524	0
0.640985191	6.31525898	6.465909481	0
0.640996763	6.315634251	6.466285229	0
0.641008336	6.3159585	6.466609478	0
0.641019909	6.316419125	6.467070103	0
0.641031485	6.316419125	6.467070103	0
0.641043061	6.316281319	6.466932297	0
0.641054628	6.315988064	6.466639042	0
0.641066214	6.31555748	6.466208458	0
0.64107778	6.314558983	6.465209484	0
0.641089354	6.31322813	6.463878155	0
0.641100931	6.310525894	6.461174488	0
0.641112509	6.308544636	6.459191799	0
0.641124073	6.305550575	6.456196308	0
0.641135648	6.29998064	6.450623512	0
0.641147228	6.291588306	6.442227364	0
0.641158811	6.281852245	6.432486534	0
0.641170389	6.275780201	6.426411629	0
0.641181956	6.273711205	6.424341679	0
0.64119352	6.272670269	6.423300266	0
0.641205092	6.270708084	6.421336651	0
0.641216686	6.266860962	6.417488098	0
0.641228241	6.262910366	6.413535595	0
0.641239822	6.255746365	6.406367779	0
0.641251387	6.247997284	6.39861536	0
0.641262974	6.241392136	6.392006874	0
0.641274538	6.240421295	6.391035557	0
0.641286109	6.240908623	6.391522884	0
0.641297686	6.239151955	6.389765739	0
0.641309267	6.2379632	6.388576031	0
0.641320843	6.239096642	6.38970995	0
0.641332411	6.242281437	6.392896652	0
0.64134398	6.244823456	6.395439625	0
0.641355576	6.241667748	6.392282486	0
0.641367149	6.237332821	6.387945652	0
0.641378709	6.23366499	6.384275913	0
0.64139029	6.230657101	6.381266594	0
0.64140187	6.229539394	6.380148411	0
0.641413438	6.229125977	6.379734516	0
0.641425008	6.229160309	6.379768848	0
0.641436578	6.229586601	6.380195618	0
0.641448152	6.22977829	6.380386829	0
0.641459739	6.230071068	6.380680084	0
0.641471301	6.23103714	6.381646633	0
0.641482885	6.233138084	6.383749008	0
0.641494449	6.236719132	6.387331486	0
0.641506022	6.238203049	6.388816357	0
0.641517605	6.240617275	6.391231537	0
0.641529167	6.242622852	6.393238068	0
0.641540745	6.243528843	6.394144535	0
0.641552324	6.246079445	6.396696091	0
0.641563892	6.247570992	6.398188591	0
0.641575478	6.247154713	6.397771835	0
0.641587043	6.246017933	6.396635056	0
0.64159863	6.245527744	6.39614439	0
0.641610188	6.242708206	6.393323422	0
0.641621773	6.242856979	6.393472195	0
0.641633352	6.241667748	6.392282486	0
0.641644922	6.242605686	6.393220902	0
0.641656481	6.242383957	6.392999172	0
0.641668059	6.241151333	6.391765595	0
0.641679634	6.239979267	6.390593052	0
0.641691216	6.238033772	6.388646603	0
0.641702794	6.237876892	6.3884902	0
0.641714364	6.236582279	6.387194634	0
0.641725928	6.235183239	6.38579464	0
0.641737516	6.23351717	6.384128094	0
0.641749072	6.232640743	6.38325119	0
0.64176065	6.231777191	6.382386684	0
0.641772226	6.230432987	6.381042004	0
0.6417838	6.230166435	6.380775452	0
