Day fraction since midnight on	pH probe (pH)	pH probe (pH)	Source pressure (Pa)
0.611969009	7.172981262	7.330193996	0
0.611980589	7.163228512	7.320250988	0
0.611992155	7.147053719	7.303761959	0
0.612003726	7.146661282	7.303361893	0
0.612015301	7.138321877	7.294859886	0
0.612026872	7.109976292	7.265963078	0
0.612038446	7.138149738	7.29468441	0
0.61205002	7.138062954	7.294596195	0
0.6120616	7.13129139	7.287692547	0
0.612073185	7.132566452	7.288992882	0
0.612084742	7.13754034	7.294063091	0
0.612096316	7.134290695	7.290750504	0
0.612107909	7.111819267	7.267842293	0
0.612119464	7.118371487	7.274521351	0
0.612131058	7.094208717	7.24988842	0
0.612142613	7.101888657	7.257718086	0
0.612154191	7.109734535	7.265716553	0
0.612165765	7.109464645	7.265441418	0
0.612177335	7.112604141	7.268641949	0
0.612188909	7.109004021	7.264971733	0
0.612200484	7.11179781	7.267819881	0
0.612212057	7.108969688	7.264936924	0
0.612223642	7.105219841	7.261114121	0
0.61223522	7.097758293	7.253507614	0
0.612246783	7.064230919	7.219327927	0
0.61225836	7.070670128	7.225892067	0
0.612269938	7.084197044	7.239682198	0
0.612281506	7.059811592	7.214822292	0
0.612293095	7.058917999	7.213911533	0
0.612304665	7.05778122	7.212752342	0
0.612316223	7.056209087	7.211149693	0
0.612327819	7.052869797	7.207745552	0
0.612339371	7.044079781	7.198784351	0
0.612350945	7.049386501	7.204194546	0
0.61236254	7.047924042	7.202703953	0
0.612374095	7.045223236	7.199950218	0
0.612385667	7.030020237	7.184451103	0
0.612397258	7.033277035	7.187771797	0
0.612408818	7.03807354	7.192661762	0
0.61242039	7.028706074	7.183111668	0
0.612431984	7.015151501	7.169293404	0
0.612443555	7.013927937	7.168045998	0
0.612455112	7.01304245	7.167143345	0
0.612466705	7.012685299	7.166779041	0
0.61247828	7.007722378	7.161719799	0
0.612489843	7.012001514	7.166082382	0
0.612501409	7.004274845	7.158205032	0
0.612512982	7.011950493	7.166030407	0
0.612524557	7.011289597	7.165356159	0
0.612536132	6.998296738	7.152110577	0
0.612547704	7.007329941	7.161319733	0
0.612559279	7.009255886	7.163283348	0
0.612570875	7.004534721	7.158470154	0
0.61258243	6.9981637	7.151975155	0
0.612594009	6.989542961	7.143186569	0
0.612605575	6.977927208	7.131345272	0
0.61261715	6.973999977	7.12734127	0
0.612628723	6.97866106	7.132092953	0
0.6126403	6.981822968	7.135316849	0
0.612651871	6.975111961	7.128474712	0
0.612663464	6.97627449	7.12966013	0
0.612675041	6.974413395	7.127762795	0
0.612686615	6.979309559	7.132753849	0
0.612698188	6.989599705	7.143244743	0
0.612709751	6.984018803	7.137555122	0
0.612721334	6.974241257	7.127587318	0
0.612732899	6.972108841	7.125413418	0
0.612744486	6.967986107	7.121210575	0
0.612756057	6.959089756	7.112141132	0
0.612767613	6.962401867	7.115517616	0
0.612779192	6.958267212	7.111302853	0
0.612790781	6.935625076	7.088219643	0
0.612802337	6.936820984	7.089438915	0
0.612813927	6.928646088	7.081105232	0
0.612825483	6.931465149	7.08397913	0
0.612837058	6.926874638	7.07929945	0
0.612848642	6.934522152	7.087095261	0
0.612860206	6.921944141	7.074272633	0
0.612871795	6.92165041	7.073973656	0
0.612883353	6.927283764	7.079716206	0
0.612894931	6.928387642	7.080841541	0
0.612906502	6.93021965	7.082709312	0
0.612918077	6.938433647	7.09108305	0
0.612929656	6.94312048	7.095861435	0
0.612941244	6.939949989	7.092628956	0
0.612952797	6.940591812	7.093283176	0
0.612964372	6.928387642	7.080841541	0
0.612975967	6.91937685	7.071655273	0
0.612987534	6.923172951	7.075525284	0
0.612999112	6.909570694	7.061658382	0
0.613010669	6.893927097	7.045710564	0
0.613022241	6.879014015	7.030507565	0
0.613033816	6.864750862	7.015966415	0
0.613045401	6.885945797	7.037574291	0
0.613056984	6.898536682	7.050410271	0
0.613068541	6.875734806	7.027164459	0
0.613080131	6.863475323	7.014666557	0
0.613091693	6.880856991	7.032386303	0
0.613103265	6.880447388	7.031968594	0
0.61311484	6.871970654	7.023327351	0
0.613126411	6.856491089	7.007546425	0
0.613137993	6.860994339	7.012136936	0
0.613149557	6.850502014	7.001441002	0
0.61316113	6.844581604	6.995490551	0
0.613172713	6.840970993	6.991878033	0
0.613184285	6.849392891	7.000310421	0
0.613195874	6.85959816	7.010714054	0
0.613207446	6.868503571	7.019792557	0
0.613219016	6.860054016	7.011178494	0
0.613230575	6.848830223	6.999741077	0
0.613242153	6.838799477	6.989706039	0
0.613253745	6.838490009	6.989396095	0
0.613265304	6.842704296	6.993612766	0
0.613276877	6.847414017	6.998324394	0
0.613288464	6.843951702	6.994860649	0
0.613300026	6.839394093	6.990300655	0
0.613311594	6.834377766	6.985281944	0
0.613323177	6.838506699	6.989412785	0
0.613334741	6.838438988	6.989345074	0
0.613346329	6.837937832	6.988843918	0
0.613357891	6.838454723	6.989360809	0
0.613369464	6.836869717	6.987774849	0
0.613381037	6.838438988	6.989345074	0
0.613392628	6.837852001	6.98875761	0
0.613404207	6.836869717	6.987774849	0
0.61341576	6.838080406	6.988986492	0
0.613427353	6.830476761	6.981379032	0
0.613438908	6.818373203	6.969269276	0
0.613450484	6.821073055	6.971970558	0
0.613462055	6.801361084	6.95224905	0
0.613473644	6.821080685	6.971978188	0
0.613485204	6.832279205	6.98318243	0
0.613496778	6.826584816	6.97748518	0
0.613508355	6.812383652	6.963276863	0
0.613519931	6.795582295	6.9464674	0
0.613531502	6.809756279	6.960648537	0
0.613543074	6.800098896	6.950985909	0
0.61355465	6.793600559	6.944485188	0
0.613566226	6.790292263	6.941174984	0
0.613577808	6.800751686	6.951639652	0
0.613589371	6.80175066	6.952638626	0
0.613600954	6.787173271	6.938054562	0
0.613612519	6.780902863	6.931780815	0
0.613624094	6.795909882	6.946794987	0
0.613635667	6.785134792	6.936014652	0
0.613647241	6.788052082	6.938933849	0
0.613658827	6.784829617	6.935709477	0
0.613670406	6.776282787	6.927158833	0
0.613681963	6.753073692	6.903937817	0
0.613693548	6.762428761	6.913297653	0
0.613705112	6.754981518	6.905847073	0
0.613716685	6.752646923	6.903511047	0
0.613728281	6.75574255	6.906608582	0
0.613739833	6.764386177	6.915256023	0
0.613751428	6.759568214	6.910435677	0
0.613762982	6.742375374	6.893234253	0
0.613774556	6.735477924	6.886333942	0
0.613786148	6.746144772	6.897005558	0
0.613797717	6.761161327	6.912029743	0
0.613809278	6.77114296	6.922016144	0
0.613820852	6.763290882	6.914160252	0
0.613832432	6.748677731	6.899539948	0
0.613844	6.719767094	6.870615006	0
0.613855576	6.722433567	6.873282909	0
0.613867157	6.721330643	6.872179985	0
0.613878728	6.739611149	6.890469074	0
0.613890312	6.725897312	6.876748562	0
0.61390187	6.730823517	6.881677151	0
0.613913451	6.741957188	6.892816067	0
0.613925019	6.727581501	6.878433704	0
0.613936606	6.718143463	6.868990421	0
0.613948168	6.733690262	6.884545326	0
0.61395974	6.718828678	6.869676113	0
0.613971322	6.728068352	6.878920555	0
0.613982889	6.742597103	6.893456459	0
0.613994478	6.715919972	6.866766453	0
0.614006059	6.721933842	6.872783184	0
0.614017611	6.711389065	6.862233162	0
0.614029185	6.710784912	6.861629009	0
0.614040763	6.716953754	6.867800713	0
0.614052352	6.711481094	6.862325192	0
0.614063921	6.717975617	6.868822575	0
0.614075484	6.717037201	6.867883682	0
0.614087056	6.714989185	6.86583519	0
0.614098634	6.712404728	6.863249302	0
0.614110203	6.690077782	6.840911388	0
0.614121779	6.685040951	6.835872173	0
0.614133352	6.670045853	6.820869923	0
0.614144946	6.668015957	6.818838596	0
0.614156507	6.672383785	6.823208809	0
0.614168077	6.681660652	6.832489967	0
0.614179661	6.687633514	6.838465691	0
0.614191227	6.673486233	6.824311733	0
0.614202801	6.677613735	6.82844162	0
0.61421437	6.665541172	6.816362858	0
0.614225946	6.664638042	6.815459251	0
0.614237535	6.666361332	6.817183495	0
0.614249093	6.67816782	6.828995705	0
0.614260666	6.676649094	6.827476502	0
0.614272251	6.675942421	6.826769352	0
0.614283814	6.676422119	6.82724905	0
0.614295411	6.672651291	6.823476315	0
0.614306966	6.664483547	6.815304756	0
0.614318538	6.664073944	6.814894676	0
0.614330121	6.667377949	6.818200588	0
0.614341702	6.66348362	6.814304352	0
0.61435328	6.664810658	6.815631867	0
0.614364833	6.66550684	6.816328526	0
0.614376415	6.669463158	6.820286751	0
0.614387983	6.663561821	6.814382553	0
0.614399562	6.66196537	6.812785149	0
0.614411129	6.656241894	6.807058811	0
0.614422703	6.645269871	6.796081543	0
0.61443428	6.616630554	6.767428398	0
five min			
0.614445853	6.625938892	6.776741028	0
0.614457446	6.648319721	6.799133301	0
0.614468999	6.659484386	6.810302734	0
0.614480583	6.64735508	6.798167706	0
0.614492158	6.638446331	6.789254665	0
0.614503732	6.631893635	6.782698631	0
0.614515305	6.632487774	6.783293247	0
0.614526884	6.630812645	6.781617165	0
0.614538455	6.621382713	6.772182941	0
0.614550024	6.638854981	6.789663792	0
0.614561611	6.63961792	6.790426731	0
0.614573171	6.626228333	6.777030945	0
0.614584748	6.625832558	6.776634693	0
0.614596326	6.624229908	6.775031567	0
0.6146079	6.6279006	6.778704166	0
0.614619468	6.621280193	6.772080421	0
0.614631044	6.61806345	6.768862248	0
0.614642612	6.621126652	6.77192688	0
0.614654194	6.61723423	6.768032074	0
0.614665766	6.612868786	6.763664722	0
0.614677332	6.591966629	6.742752075	0
0.614688912	6.606136799	6.756929398	0
0.614700492	6.616992474	6.767790794	0
0.61471206	6.601453304	6.752243996	0
0.614723634	6.582769394	6.733551025	0
0.614735204	6.586045742	6.736828327	0
0.614746789	6.598202705	6.748991489	0
0.614758354	6.585226536	6.736009121	0
0.614769932	6.587612629	6.738396168	0
0.614781508	6.578565598	6.729344845	0
0.614793079	6.579510689	6.730290413	0
0.614804656	6.586561203	6.737344265	0
0.614816227	6.586164951	6.736948013	0
0.614827797	6.578998566	6.72977829	0
0.614839381	6.602241993	6.753033161	0
0.614850944	6.615103722	6.765900612	0
0.61486253	6.612822533	6.763618469	0
0.614874093	6.600361347	6.751151562	0
0.614885678	6.612219334	6.76301527	0
0.614897247	6.601624012	6.752414703	0
0.614908828	6.581133366	6.731913567	0
0.614920393	6.578452587	6.729231834	0
0.614931974	6.586647511	6.737430573	0
0.61494354	6.608090878	6.75888443	0
0.614955115	6.618560791	6.769359589	0
0.614966704	6.601622105	6.752412319	0
0.614978269	6.574530602	6.725307941	0
0.614989843	6.565228462	6.716001034	0
0.615001408	6.564682961	6.715455532	0
0.615012988	6.56202364	6.712794781	0
0.615024566	6.572534561	6.723310947	0
0.615036134	6.563659668	6.714431286	0
0.615047703	6.567276478	6.71805048	0
0.615059277	6.578393459	6.729172707	0
0.615070859	6.57518816	6.725965977	0
0.615082435	6.571759224	6.722535133	0
0.615094007	6.573588371	6.724365234	0
0.615105584	6.556181908	6.706950188	0
0.615117148	6.542962074	6.693724155	0
0.615128736	6.533746243	6.684503555	0
0.6151403	6.540351868	6.691112518	0
0.615151883	6.531471252	6.682227612	0
0.615163445	6.543269157	6.694031239	0
0.615175023	6.545412064	6.696175098	0
0.615186596	6.552995205	6.703762054	0
0.615198167	6.546562672	6.697326183	0
0.615209741	6.535589695	6.686347961	0
0.615221326	6.522321224	6.673073292	0
0.615232899	6.531768799	6.682525158	0
0.615244469	6.531751633	6.682507992	0
0.615256046	6.52938652	6.680141449	0
0.615267611	6.529482842	6.68023777	0
0.615279191	6.503917694	6.654660702	0
0.615290768	6.517272472	6.668021679	0
0.615302334	6.522503853	6.67325592	0
0.615313915	6.495767117	6.646505833	0
0.615325492	6.507109165	6.657853603	0
0.615337062	6.527264118	6.67801857	0
0.615348641	6.529472828	6.680227757	0
0.615360211	6.522401333	6.6731534	0
0.615371786	6.501695156	6.652436733	0
0.615383358	6.487473965	6.638208866	0
0.615394938	6.485841751	6.636575699	0
0.615406505	6.487132549	6.637866974	0
0.615418082	6.505916596	6.656660557	0
0.615429656	6.518391609	6.669141293	0
0.615441231	6.515107632	6.665855885	0
0.615452801	6.500595093	6.651336193	0
0.615464375	6.472151756	6.622879028	0
0.615475946	6.477184773	6.627914429	0
0.615487528	6.492734432	6.643471718	0
0.615499099	6.491927147	6.642663956	0
0.615510672	6.491295815	6.642032147	0
0.615522247	6.491166115	6.641902924	0
0.615533825	6.490149498	6.64088583	0
0.615545394	6.483839512	6.634572506	0
0.615556969	6.488038063	6.638772965	0
0.615568547	6.489942551	6.640678883	0
0.61558011	6.487047672	6.637782097	0
0.615591693	6.480827332	6.631558895	0
0.615603261	6.489931107	6.640666962	0
0.615614843	6.461183071	6.611905098	0
0.615626414	6.452222347	6.602940083	0
0.615637987	6.470837593	6.621564388	0
0.61564956	6.473465443	6.624193192	0
0.61566113	6.457443237	6.608163357	0
0.615672707	6.44938612	6.600102425	0
0.615684282	6.452463627	6.603181362	0
0.61569585	6.467032433	6.61775732	0
0.615707431	6.466300964	6.617025375	0
0.615719019	6.45553112	6.606250286	0
0.615730593	6.477270126	6.628000259	0
0.615742149	6.466299057	6.617023468	0
0.615753741	6.452549934	6.60326767	0
0.615765303	6.449560165	6.60027647	0
0.615776869	6.447990418	6.598705769	0
0.615788448	6.444913864	6.595627785	0
0.615800017	6.447649479	6.59836483	0
0.6158116	6.444709778	6.595423698	0
0.615823165	6.44399786	6.594711304	0
0.615834759	6.420688629	6.571390629	0
0.615846313	6.439851761	6.590563297	0
0.615857903	6.443399906	6.59411335	0
0.615869461	6.443007946	6.593720913	0
0.615881038	6.443589687	6.594303131	0
0.615892614	6.44600153	6.596716404	0
0.615904191	6.449380875	6.600097179	0
0.615915779	6.452291489	6.603009224	0
0.615927338	6.442752361	6.593465328	0
0.615938906	6.444355965	6.595069885	0
0.615950491	6.44634676	6.597061157	0
0.615962055	6.445874691	6.596589088	0
0.615973647	6.440350056	6.591062069	0
0.615985209	6.432582855	6.583291054	0
0.615996796	6.428770065	6.579476357	0
0.616008372	6.413002968	6.56370163	0
0.616019944	6.420300007	6.571002007	0
0.616031498	6.409988403	6.560685158	0
0.61604308	6.416788101	6.567488194	0
0.616054653	6.420246601	6.570948601	0
0.616066226	6.428829193	6.579535008	0
0.616077797	6.430535317	6.581242561	0
0.616089373	6.430958748	6.581665993	0
0.616100946	6.428095341	6.578801155	0
0.616112517	6.438162327	6.58887291	0
0.616124109	6.433422566	6.584131241	0
0.616135665	6.412374497	6.563072681	0
0.616147239	6.416742802	6.567442894	0
0.616158835	6.414513588	6.565212727	0
0.616170395	6.423897743	6.57460165	0
0.616181983	6.425117016	6.5758214	0
0.616193538	6.413370132	6.564068794	0
0.616205114	6.423325062	6.574028492	0
0.616216697	6.431424141	6.582131386	0
0.616228265	6.437053204	6.58776331	0
0.616239837	6.438985348	6.589696407	0
0.616251408	6.434291363	6.585000038	0
